JCR:UUID,PATH,TYPE,JCR:CONTENT/METADATA/DC:FORMAT,TITLE,EXPIRES,JCR:CONTENT/METADATA/XMP:RHCC-FILE-LAST-MODIFIED,,JCR:CONTENT/METADATA/DC:LANGUAGE,JCR:CONTENT/METADATA/XMP:RHCC-ASSET-URL,JCR:CONTENT/METADATA/XMP:RHCC-AUDIENCE,JCR:CONTENT/METADATA/DAM:STATUS,JCR:CONTENT/METADATA/DC:DESCRIPTION,JCR:CONTENT/METADATA/XMP:RHCC-AUTHOR,JCR:CONTENT/METADATA/XMP:RHCC-BUSINESS-CHALLENGE,JCR:CONTENT/METADATA/XMP:RHCC-COMPETITOR,JCR:CONTENT/METADATA/XMP:RHCC-CONTENT-TYPE,JCR:CONTENT/METADATA/XMP:RHCC-DISTRIBUTION-TERMS,JCR:CONTENT/METADATA/XMP:RHCC-INDUSTRY,JCR:CONTENT/METADATA/XMP:RHCC-PRODUCT,JCR:CONTENT/METADATA/XMP:RHCC-PRODUCT-COMPONENT,JCR:CONTENT/METADATA/XMP:RHCC-PRODUCT-LINE,JCR:CONTENT/METADATA/XMP:RHCC-REGION,JCR:CONTENT/METADATA/XMP:RHCC-SALES-STAGE,JCR:CONTENT/METADATA/XMP:RHCC-SOURCE-URL,JCR:CONTENT/METADATA/XMP:RHCC-TOPICS,JCR:CONTENT/METADATA/XMP:RHCC-TRAINING-AND-CERTIFICATION,JCR:CONTENT/METADATA/XMP:RHCC-PARTNERS,JCR:CONTENT/METADATA/XMP:RHCC-PERSONA,JCR:CONTENT/METADATA/XMP:RHCC-ROLES,JCR:CONTENT/METADATA/XMP:RHCC-SALES-PLAY
6f09db6b-b822-4cb3-aca8-ff59d15ecc05,/content/dam/rhcc/pnt/sales/pricebooks/LATAM_Brazil_BRL_CHANNEL_Q2CY24.xlsx,SHEET,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,LATAM_Brazil_BRL_CHANNEL_Q2CY24,2025-09-30T20:00:00.000-04:00,2024-04-01T05:34:50.223Z,,pt-br,,rhcc-audience:internal;rhcc-audience:latam-brazil,available,"Lista de Preços  - Parceiro Solution Provider/Reseller

Válido de Abril a Junho de 2024",Partner Program LATAM,,,rhcc-content-type:price-guide,confidential - nda required,,,,,rhcc-region:latin-america,,,,,,,,
58266187-58f0-4d88-b016-1742cd288b07,/content/dam/rhcc/pnt/sales/pricebooks/LATAM_NOLA_USD_CHANNEL_Q2CY24.xlsx,SHEET,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,LATAM_NOLA_USD_CHANNEL_Q2CY24,2024-06-30T23:59:00.000-06:00,2024-04-01T05:45:38.215Z,,es,,rhcc-audience:internal;rhcc-audience:latam--sola-and-nola,available,"Lista de Precios  - Partner Solution Provider/Reseller

Válida desde Abril a Junio de 2024",Partner Program LATAM,,,rhcc-content-type:price-guide,confidential - nda required,,,,,rhcc-region:latin-america,,,,,,,,
096f0bab-9d2b-47a3-977b-bdaa3f0a2457,/content/dam/rhcc/pnt/sales/pricebooks/LATAM_SOLA_USD_CHANNEL_Q2CY24.xlsx,SHEET,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,LATAM_SOLA_USD_CHANNEL_Q2CY24,2024-07-20T18:00:00.000-06:00,2024-04-02T17:22:22.672Z,,es,,rhcc-audience:internal;rhcc-audience:latam--sola-and-nola,available,"Lista de Precios  - Partner Solution Provider/Reseller

Válida desde Abril a Junio de 2024",Partner Program LATAM,,,rhcc-content-type:price-guide,confidential - nda required,,,,,rhcc-region:latin-america,,,,,,,,
e703818e-4445-4884-8374-1475d643110f,/content/dam/rhcc/pnt/sales/sales-operations/Customer Engagement Center - Internal reporting guide.pdf,PDF,application/pdf,Customer Engagement Center - Internal reporting guide,2024-06-29T19:00:00.000-04:00,2022-12-02T15:27:33.316Z,,en,,rhcc-audience:internal,available,An overview of how to utilize the customer engagement center ,Jason Marlow,,,rhcc-content-type:training-resource,confidential - red hat only,,,,,,,,,,,,,
eaf4372e-a255-4788-acc1-d8a6ba60a354,/content/dam/rhcc/pnt/sales/sales-plays/Cheat Sheet- RHEL - Ansible Automation Platform Cross-sell .pdf,PDF,application/pdf,Cheatsheet - RHEL - Ansible Automation Platform Cross-sell,2025-09-19T19:00:00.000-05:00,2024-03-20T15:21:47.920Z,,en,,rhcc-audience:internal;rhcc-audience:all-partners;rhcc-audience:techportal,available,This cheat sheet is provided to help Red Hat Sales person talk to their RHEL customers in adopting Red Hat Ansible Automation Platform for automating their infrastructure.,Avnish Bangar,,,rhcc-content-type:cheatsheet,confidential - channel nda required,,rhcc-product:red-hat-ansible-automation-platform;rhcc-product:red-hat-enterprise-linux,,,,,,rhcc-topics:automation-management;rhcc-topics:linux,,,,rhcc-roles:account-executive-commercial;rhcc-roles:account-executive-enterprise;rhcc-roles:ssp,rhcc-sales-play:automate-the-enterprise;rhcc-sales-play:standardize-on-linux-for-any-workload
418b8d89-cbb6-4649-aa3d-8e6329c8cb90,/content/dam/rhcc/pnt/sales/sales-plays/Pitchbuilder summary.pdf,PDF,application/pdf,Pitchbuilder Summary,2024-06-28T13:47:00.000-04:00,2023-06-26T17:44:15.137Z,,en,,rhcc-audience:internal,available,A guide to producing a pitchbuilder summary that can be used with a customer. Focus on usage and subscription value.,Luis Cortes,,,rhcc-content-type:sales-guide,confidential - red hat only,,,,,,,,,,,,,
b964b8e7-6a46-4a1b-ae3f-d89fd10e76e3,/content/dam/rhcc/pnt/sales/sales-plays/pa-boost-business-outcomes-infographic-xxxxxx-202307.pdf,PDF,application/pdf,Ecosystem Solutions Sales Play Infographic,2025-01-06T19:00:00.000-05:00,2023-07-07T19:02:12.487Z,,en,https://drive.google.com/file/d/15QtDJjJX52XeaI_SpmVXHjzkgOsShXMO/view,rhcc-audience:internal;rhcc-audience:all-partners,available,Infographic showing the value of ecosystem solutions and how they align to Red Hat sales plays,Bryan Kohan,,,rhcc-content-type:infographic,confidential - channel nda required,,,,,,,https://drive.google.com/file/d/15QtDJjJX52XeaI_SpmVXHjzkgOsShXMO/view,rhcc-topics:partners,,,,,
eea74880-80c5-4a05-88d6-26a83f89b719,/content/dam/rhcc/pnt/sales/sales-plays/Ansible on Clouds Cheatsheet.pdf,PDF,application/pdf,Cheatsheet - Cloud Automation,2025-09-05T20:00:00.000-04:00,2024-03-06T02:51:55.992Z,,en,,rhcc-audience:internal;rhcc-audience:all-partners;rhcc-audience:techportal,available,This cheatsheet helps you talk to your customers around hybrid cloud automation and can support you to sell Red hat Ansible Automation Platform. (AAP),Avnish Bangar,,,rhcc-content-type:cheatsheet,confidential - channel nda required,,rhcc-product:red-hat-ansible-automation-platform;rhcc-product:red-hat-ansible-automation-platform-on-microsoft-azure;rhcc-product:red-hat-ansible-automation-platform-via-aws;rhcc-product:red-hat-ansible-automation-platform-via-google-cloud-,,rhcc-product-line:management,,,,rhcc-topics:automation-management;rhcc-topics:hybrid-cloud;rhcc-topics:containers,,,,,rhcc-sales-play:automate-and-manage-the-hybrid-cloud;rhcc-sales-play:automate-the-enterprise
928d813a-7a85-41f5-be22-4d887b0f3bba,/content/dam/rhcc/pnt/sales/sales-programs/Red_Hat_1_OpenShift_Programs_RHCC.pdf,PDF,application/pdf,Red Hat OpenShift Programs,2025-07-17T02:00:00.000+02:00,2024-01-17T22:42:45.931Z,,en,,rhcc-audience:internal;rhcc-audience:all-partners,available,"Key programs to boost the OpenShift application
platform cross-sell and upsell opportunities",Carolyn May,,,rhcc-content-type:detail,general distribution,,,,,,,,,,,,,
0ee61a60-e93c-4639-9731-3eb3c2d649ee,/content/dam/rhcc/pnt/sales/technical-sales-and-go-to-market/Red Hat OpenShift Data Science 11 deck.pdf,PDF,application/pdf,Red Hat OpenShift Data Science 101 deck - PDF RHODS,2024-08-03T20:00:00.000-04:00,2022-12-02T16:37:45.138Z,,en,,rhcc-audience:internal,available,Use the Source URL for the most recent draft.  This PDF version is out of date.,Will McGrath,,,rhcc-content-type:business-presentation,confidential - channel nda required,,rhcc-product:red-hat-openshift,,rhcc-product-line:cloud-computing;rhcc-product-line:data-services,,,https://docs.google.com/presentation/d/1YKlaYhb8Du8clmEt3wMEWZ8F2dONp3Jbetpr2r47ego/edit,,,,,,
